"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Alakazhan,Paladin,Retribution,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,189.314,46.957993,9121.428,241,633,75740571,2023-08-25 01:05:04.893,1018,xJNj8W7VrwZRqkAt,3,707072
Alakazhan,Paladin,Retribution,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,215.193,34.2196,12227.173,242,641,75740571,2023-10-05 01:37:14.455,1018,DkhXBQ6PcKvVxaAw,9,707072
Bellaamage,Mage,Fire,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,168.852,50.090893,12130.8955,247,633,75839383,2023-10-04 23:34:43.520,1018,n1gR37fcFAD49tLZ,3,707072
Bellaamage,Mage,Fire,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,165.261,23.069845,11112.38,246,641,75839383,2023-09-14 00:39:14.046,1018,Vdk9PZQ3RGFCyAzv,9,707072
Bols,Shaman,Enhancement,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,392.864,2.0899959,2845.6748,243,629,75664752,2023-08-20 23:46:09.858,1018,dYxQr7pzCKg4ADH6,9,707072
Bols,Shaman,Enhancement,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,177.768,30.016747,12229.816,243,641,75664752,2023-08-21 00:15:57.070,1018,"1YXLBCmKdfNvAQhM",7,707072
Zeshington,Warlock,Demonology,benediction,us,PAF,alliance,Trial of the Crusader,Lord Jaraxxus,171.706,19.209146,7628.062,236,633,75649051,2023-09-22 19:29:53.464,1018,WtvYjFLdNTZbXfK1,3,676493
Complexado,Warlock,Demonology,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,361.931,35.505386,7271.4175,241,629,60285077,2023-09-13 23:58:38.282,1018,Vdk9PZQ3RGFCyAzv,4,707072
Zeshington,Warlock,Affliction,benediction,us,PAF,alliance,Trial of the Crusader,Twin Val'kyr,148.478,15.012347,10278.62,236,641,75649051,2023-09-28 19:50:07.415,1018,Z1WtpLqJyAQNM6P8,6,676493
Schemers,Mage,Arcane,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,266.43,0.90618247,3124.4116,246,645,59945884,2023-10-03 23:42:23.922,1018,V9AxPXGMfkbv2Br4,30,632029
Complexado,Warlock,Demonology,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,193.829,56.12999,9547.271,241,633,60285077,2023-09-14 00:07:02.115,1018,Vdk9PZQ3RGFCyAzv,5,707072
Complexado,Warlock,Affliction,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,234.851,16.715769,7326.769,232,633,60285077,2023-08-16 23:56:36.321,1018,M1QqCYc39nX4Ph6v,3,707072
Arobedd,Rogue,Assassination,faerlina,us,Gratz,horde,Trial of the Crusader,Anub'arak,299.93,0.875803,3891.9248,222,645,75280784,2023-09-04 23:24:42.035,1018,H6MnhPfYwvBgjxcN,9,632029
Subversión,DeathKnight,Unholy,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Lord Jaraxxus,156.307,47.930737,10723.039,240,633,75880700,2023-09-14 00:44:57.364,1018,VZj9MFyrNqKQg7dD,3,706578
Subversión,DeathKnight,Unholy,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Twin Val'kyr,176.099,30.283777,12335.249,241,641,75880700,2023-09-22 00:51:15.366,1018,hKwQamZ7kfprYt4j,18,706578
Subversión,DeathKnight,Unholy,faerlina,us,Long Live RocknRoll,horde,Trial of the Crusader,Anub'arak,310.659,18.570831,8308.045,241,645,75880700,2023-09-22 00:59:45.105,1018,hKwQamZ7kfprYt4j,19,706578
Minimús,Mage,Fire,benediction,us,Toxic Behavior,alliance,Trial of the Crusader,Lord Jaraxxus,234.158,7.2885985,6803.402,226,633,62441791,2023-08-25 00:37:45.503,1018,zgkC2fMVpPcnFKDx,2,671455
Zeshington,Warlock,Demonology,benediction,us,PAF,alliance,Trial of the Crusader,Anub'arak,300.085,9.094798,6788.9365,236,645,75649051,2023-09-22 20:10:39.082,1018,HWzDc4p7hV8jkqfP,12,676493
Zeshington,Warlock,Affliction,benediction,us,PAF,alliance,Trial of the Crusader,Anub'arak,340.315,5.473831,6495.432,236,645,75649051,2023-08-29 00:57:25.275,1018,b9tTmjAH3ragzNRY,8,676493
Complexado,Warlock,Affliction,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,162.739,48.53102,13217.926,240,641,60285077,2023-09-21 00:24:11.576,1018,wMNADYxb6vr83WTK,9,707072
Complexado,Warlock,Demonology,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,165.261,54.41067,12917.772,241,641,60285077,2023-09-14 00:39:14.046,1018,Vdk9PZQ3RGFCyAzv,9,707072
Complexado,Warlock,Demonology,faerlina,us,INSS,horde,Trial of the Crusader,Anub'arak,313.919,54.86694,8417.34,240,645,60285077,2023-09-07 01:13:47.551,1018,JM9Vjxf3ZHckyq72,13,707072
