"id","guild","title","date","realm","region","faction"
BHAvDhf6Y72FzaLc,Teleton,Trial of the Crusader,2023-08-18 20:08:30.299,faerlina,us,horde
"8BMc1jKmaTZCvA7x",Teleton,Trial of the Crusader,2023-08-17 20:09:42.386,faerlina,us,horde
JRWnPzB3jwFc67QD,Teleton,Trial of the Crusader,2023-08-16 21:07:00.488,faerlina,us,horde
vbakLnR39QWtgyZN,Teleton,TOC 10HC,2023-08-16 19:40:04.847,faerlina,us,horde
"6YrTMgNDn321f7Q8",Teleton,Trial of the Crusader,2023-08-16 19:28:58.758,faerlina,us,horde
"9RncVmQxYLzZDGaT",Teleton,Trial of the Crusader,2023-08-16 19:30:02.953,faerlina,us,horde
wF2ZC8cqV9GyQPgY,Teleton,Trial of the Crusader,2023-08-15 19:56:26.028,faerlina,us,horde
"27bNxtjTcwrmkZV4",Teleton,TOC 25 HC,2023-08-15 20:11:01.071,faerlina,us,horde
YhkA9MBx4m2w3Lb7,Teleton,Trial of the Crusader,2023-08-15 20:09:05.716,faerlina,us,horde
VZXh9fjCbkHatcyQ,Teleton,Trial of the Crusader,2023-08-14 17:41:22.774,faerlina,us,horde
hGvWFnLfTagM6y1A,Teleton,Ulduar,2023-08-11 18:41:54.806,faerlina,us,horde
dJRThWD9p4vxV78m,Teleton,Trial of the Crusader,2023-08-11 20:14:06.155,faerlina,us,horde
qGnmQd3L6ztPg9YD,Teleton,Unknown Zone,2023-08-11 21:23:13.464,faerlina,us,horde
MFW7PQKHhRtJgckf,Teleton,Trial of the Crusader,2023-08-10 20:27:56.812,faerlina,us,horde
FakWAPvGnYjZKrTm,Teleton,Trial of the Crusader,2023-08-09 21:13:25.143,faerlina,us,horde
T4FcLMw2rNby6Pqm,Teleton,Trial of the Crusader,2023-08-09 21:02:20.571,faerlina,us,horde
"2MBJxTb71kzQac68",Teleton,Trial of the Crusader,2023-08-09 20:00:30.787,faerlina,us,horde
YJX7V9drGm3FpCK6,Long Live RocknRoll,ToC Raid 2,2023-08-17 21:15:20.905,faerlina,us,horde
H3cjLTWNd6Mm1rGX,Long Live RocknRoll,Raid 2 17/08,2023-08-17 20:54:35.317,faerlina,us,horde
ZfXWRQbVcGrY4kvD,Long Live RocknRoll,Raid 1 16/08,2023-08-16 21:02:18.727,faerlina,us,horde
TxFn6MDHqzp2NKZ8,Long Live RocknRoll,ToC Raid 3,2023-08-14 20:42:09.109,faerlina,us,horde
HaZnj1rh9C6fqTDJ,Long Live RocknRoll,Raid 2 10/08,2023-08-10 21:55:13.780,faerlina,us,horde
nAkDgQhf6TcvC9tV,Long Live RocknRoll,Raid 1 09/08,2023-08-09 20:31:05.968,faerlina,us,horde
gRt2PpQzHwM6a4J9,É Foda Bê,Trial of the Crusader,2023-08-23 23:20:06.657,benediction,us,alliance
pgHx4jAa7NcJnBWm,É Foda Bê,Trial of the Crusader,2023-08-23 23:20:06.657,benediction,us,alliance
DXqC7B6y1haYNHVb,DAMNATlON,ulduar sr,2023-08-23 23:22:29.727,faerlina,us,horde
My3vwV8XRA9PNCFT,Posto Ipiranga,ToGC 25 split 4 - Week 10,2023-08-24 01:07:41.344,faerlina,us,horde
